Timestamp,"By clicking ""I Agree"" below, you confirm that:
You have read and understood the purpose of this survey.
You consent to participate in this survey.",  1. What is your age?   ,  2. What is your gender?  ,  3 How do you identify your ethnic background? (Select all that apply)  ,  4. What is your current employment status?   ,  5. How often do you feel that your workload is difficult to manage?  ,  6. How frequently do you experience feelings of burnout or exhaustion related to work?  ,"  7. In the past year, have you taken any days off specifically due to stress, anxiety, or mental health reasons?   ","  8. On an average, how many hours do you sleep per night?  ","  9. How many hours of physical activity (e.g., exercise, walking) do you engage in per week?   ",  10. Do you find it challenging to relax after work or other responsibilities?   ,  11. Have you experienced significant changes in your appetite or weight within the past three months?   ,  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Alcohol Consumption],  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Smoking],"  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Caffeine Intake (e.g., coffee, tea,energy drinks)]",  12. How often do you engage in the following behaviors as a response to stress or for relaxation? (Select all that apply)    [Consumption of Sugary or High-Calorie Snacks],"  13. How often do you experience feelings of sadness, hopelessness, or mood swings?   ",15. Have you been diagnosed with a mental health disorder?  ,"14. Are you currently experiencing any mental health-related challenges (e.g., anxiety, depression, bipolar disorder, OCD, Sleep disorder,Postpartum, etc.)? ","  16. Do you have a family history of mental health disorders(e.g., Alzheimer's,Dementia,Sleep disorders ,Postpartum,Addiction to alcohol and drugs, etc.)?   ",  17. How satisfied are you with your current work-life balance?  ,  18. What coping strategies do you use to manage mental health or stress? (Select all that apply)  ,"  19. When faced with stress, how likely are you to seek help from a mental health professional?   ","  20. How often do you engage in activities specifically for relaxation (e.g., meditation, reading, etc)?  "
1/7/2025 5:07:12,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,Yes,6 - 7 hours,Less than 1 hour,Rarely,Yes,Rarely,Rarely,Rarely,Rarely,Weekly,No,Yes,No,Satisfied,Avoidance,Neutral,Rarely
1/7/2025 5:27:19,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Never,Never,Monthly,No,No,No,Satisfied,"Social support, Journaling",Very likely,Monthly
1/7/2025 5:31:24,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Not applicable,No,8 - 9 hours,Less than 1 hour,Never,Not Applicable,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,No,No,No,Dissatisfied,"Physical activity, Social support",Neutral,Rarely
1/7/2025 5:47:57,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,4 - 5 hours,Less than 1 hour,Often,No,,,Rarely,,Daily,No,No,No,Dissatisfied,Other,Likely,Rarely
1/7/2025 6:57:34,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Sometimes,No,Never,Never,Never,Occasionally,Monthly,No,No,No,Neutral,"Social support, Journaling",Unlikely,Weekly
1/7/2025 8:11:51,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",,Sometimes,Often,Yes,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Regularly,Rarely,Rarely,No,No,No,Satisfied,"Social support, Meditation",Likely,Daily
1/7/2025 8:13:32,I Agree,25-34,Female,"Caucasian (e.g., United States, Canada, United Kingdom, Germany)",Self-employed,Sometimes,Sometimes,No,8 - 9 hours,1 - 2 hours,Always,Yes,,,Regularly,,Daily,No,,No,Satisfied,Physical activity,Likely,Daily
1/7/2025 8:30:42,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Never,Never,No,6 - 7 hours,1 - 2 hours,Sometimes,Yes,,,Regularly,,Rarely,No,Yes,No,Satisfied,Social support,Likely,Weekly
1/7/2025 8:33:55,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Rarely,Yes,,,Rarely,,Rarely,No,No,No,Neutral,"Physical activity, Social support, Avoidance",Neutral,Weekly
1/7/2025 8:55:07,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,Less than 1 hour,Sometimes,No,Never,Never,Occasionally,Occasionally,Monthly,No,No,No,Neutral,"Social support, Meditation, Journaling",Likely,Weekly
1/7/2025 9:04:39,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,Rarely,Occasionally,Daily,No,Yes,No,Neutral,Social support,Neutral,Rarely
1/7/2025 9:12:13,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Rarely,No,6 - 7 hours,5 - 6 hours,Never,No,,,Regularly,Regularly,Monthly,No,No,No,Satisfied,"Physical activity, Social support, Meditation, Other",Likely,Weekly
1/7/2025 9:24:21,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Never,Occasionally,Daily,No,No,No,Neutral,Journaling,Neutral,Rarely
1/7/2025 9:24:49,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,No,Rarely,Never,Regularly,Rarely,Rarely,No,Yes,No,Neutral,Avoidance,Unlikely,Rarely
1/7/2025 9:36:25,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Rarely,,Rarely,Occasionally,Rarely,No,No,No,Neutral,Avoidance,Neutral,Rarely
1/7/2025 10:07:58,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Sometimes,Yes,Rarely,Never,Regularly,Regularly,Daily,No,Yes,No,Neutral,Other,Very unlikely,Rarely
1/7/2025 10:08:57,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Always,Yes,4 - 5 hours,Less than 1 hour,Often,Yes,Never,Never,Regularly,Occasionally,Daily,No,No,No,Neutral,"Physical activity, Avoidance",Very unlikely,Rarely
1/7/2025 10:11:08,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,6 - 7 hours,5 - 6 hours,Always,Yes,,,Regularly,Regularly,Monthly,No,No,No,Satisfied,"Physical activity, Social support, Meditation, Avoidance, Other",Neutral,Weekly
1/7/2025 10:17:26,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,6 - 7 hours,More than 6 hours,Never,Yes,Never,Never,Rarely,Occasionally,Weekly,Prefer not to say,Yes,Yes,Very dissatisfied,"Physical activity, Social support, Meditation, Therapy, Journaling, Avoidance, Other",Neutral,Rarely
1/7/2025 10:20:23,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,No,4 - 5 hours,Less than 1 hour,Rarely,Yes,,,,,Rarely,No,No,No,Satisfied,Physical activity,Unlikely,Weekly
1/7/2025 10:21:24,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,Yes,6 - 7 hours,5 - 6 hours,Rarely,Yes,Regularly,Regularly,Occasionally,Occasionally,Daily,No,Yes,No,Dissatisfied,"Physical activity, Social support, Meditation, Avoidance",Unlikely,Rarely
1/7/2025 10:23:39,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Never,No,8 - 9 hours,1 - 2 hours,Sometimes,Yes,,,Rarely,,Rarely,No,No,No,Satisfied,Meditation,Unlikely,Weekly
1/7/2025 10:35:29,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Never,Never,Weekly,No,Yes,Yes,Satisfied,Physical activity,Unlikely,Rarely
1/7/2025 10:39:06,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,Yes,6 - 7 hours,1 - 2 hours,Never,Yes,Never,Never,Never,Never,Never,No,No,No,Neutral,"Physical activity, Social support, Journaling",Neutral,Monthly
1/7/2025 10:40:03,I Agree,18-24,Female,Other,Student,Not applicable,Not applicable,No,6 - 7 hours,Less than 1 hour,Not Applicable,No,Never,Never,Never,Rarely,Rarely,No,No,No,Neutral,"Social support, Avoidance",Unlikely,Never
1/7/2025 10:58:35,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Rarely,Rarely,Regularly,Regularly,Rarely,No,No,No,Neutral,Social support,Likely,Never
1/7/2025 10:59:57,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,4 - 5 hours,3 - 4 hours,Sometimes,No,Never,Never,Occasionally,Rarely,Monthly,No,Yes,No,Satisfied,"Physical activity, Meditation, Journaling",Likely,Daily
1/7/2025 11:03:11,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,3 - 4 hours,Rarely,No,Occasionally,Never,Regularly,Regularly,Weekly,No,Prefer not to say,No,Satisfied,"Physical activity, Avoidance",Unlikely,Weekly
1/7/2025 11:04:44,I Agree,35-44,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,6 - 7 hours,Less than 1 hour,Often,No,Rarely,Never,Rarely,Occasionally,Weekly,No,No,No,Neutral,"Physical activity, Meditation",Neutral,Daily
1/7/2025 11:05:02,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Not applicable,Not applicable,Not applicable,6 - 7 hours,1 - 2 hours,Sometimes,No,Never,Never,Never,Never,Rarely,No,No,No,Neutral,Other,Neutral,Daily
1/7/2025 11:06:21,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,1 - 2 hours,Sometimes,No,Never,Never,Occasionally,Rarely,Daily,No,No,No,Neutral,Physical activity,Likely,Weekly
1/7/2025 11:06:41,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,No,Never,Never,Rarely,Rarely,Never,No,No,No,Neutral,"Physical activity, Social support, Meditation, Therapy",Neutral,Rarely
1/7/2025 11:07:19,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,4 - 5 hours,1 - 2 hours,Sometimes,Yes,Never,Never,Regularly,Regularly,Daily,No,Yes,No,Neutral,Physical activity,Very likely,Rarely
1/7/2025 11:08:00,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,No,Never,Never,Occasionally,Never,Rarely,No,No,No,Neutral,Social support,Very unlikely,Never
1/7/2025 11:08:14,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Often,No,6 - 7 hours,1 - 2 hours,Never,Yes,Never,Never,Regularly,Occasionally,Daily,No,No,No,Satisfied,Physical activity,Unlikely,Daily
1/7/2025 11:09:20,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,No,Occasionally,Never,Never,Rarely,Rarely,No,No,No,Neutral,Social support,Very unlikely,Rarely
1/7/2025 11:11:09,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Never,Never,Not applicable,Less than 4 hours,Less than 1 hour,Never,No,Never,Never,Regularly,Regularly,Never,No,No,No,Satisfied,Physical activity,Unlikely,Daily
1/7/2025 11:12:52,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Not applicable,Never,No,8 - 9 hours,1 - 2 hours,Never,No,Never,Never,Rarely,Never,Rarely,No,No,No,Very satisfied,Journaling,Neutral,Daily
1/7/2025 11:15:14,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,6 - 7 hours,Less than 1 hour,Never,No,Never,Never,Never,Never,Rarely,No,No,No,Satisfied,Other,Unlikely,Rarely
1/7/2025 11:17:43,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Often,Often,No,4 - 5 hours,Less than 1 hour,Often,Yes,Never,Never,Occasionally,Never,Rarely,No,No,Yes,Neutral,"Physical activity, Social support",Likely,Rarely
1/7/2025 11:19:21,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,4 - 5 hours,Less than 1 hour,Never,No,Never,Never,Regularly,Occasionally,Rarely,No,No,No,Satisfied,Journaling,Likely,Daily
1/7/2025 11:20:37,I Agree,18-24,Female,,Student,,,No,6 - 7 hours,1 - 2 hours,,,,,,,,,No,No,,,,
1/7/2025 11:21:26,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Regularly,Regularly,Daily,No,Yes,No,Neutral,"Social support, Avoidance",Very unlikely,Monthly
1/7/2025 11:23:33,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Always,No,6 - 7 hours,3 - 4 hours,Rarely,No,Rarely,Never,Regularly,Regularly,Monthly,No,No,No,Satisfied,"Social support, Journaling, Avoidance, Other",Neutral,Monthly
1/7/2025 11:25:14,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Often,Yes,Occasionally,Occasionally,Regularly,Occasionally,Weekly,No,Prefer not to say,No,Neutral,Other,Very unlikely,Rarely
1/7/2025 11:25:26,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Always,Sometimes,Yes,4 - 5 hours,Less than 1 hour,Often,Yes,Never,Never,Rarely,Occasionally,Daily,No,Yes,No,Neutral,Other,Very unlikely,Rarely
1/7/2025 11:26:10,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,8 - 9 hours,5 - 6 hours,Never,No,Never,Never,Rarely,Never,Never,No,No,No,Satisfied,"Physical activity, Social support",Very unlikely,Rarely
1/7/2025 11:29:18,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,,No,6 - 7 hours,1 - 2 hours,Never,No,,,,,Never,No,No,No,Satisfied,Social support,Likely,Weekly
1/7/2025 11:31:35,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,5 - 6 hours,Rarely,Yes,Never,Never,Never,Occasionally,Weekly,No,No,Yes,Satisfied,Social support,Unlikely,Rarely
1/7/2025 11:43:47,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Rarely,Rarely,No,6 - 7 hours,1 - 2 hours,Rarely,No,Occasionally,Rarely,Occasionally,Regularly,Weekly,No,No,No,Neutral,"Meditation, Therapy, Journaling",Likely,Weekly
1/7/2025 11:43:56,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Often,Yes,6 - 7 hours,3 - 4 hours,Often,Yes,Rarely,Never,Regularly,Regularly,Monthly,No,No,No,Neutral,"Physical activity, Social support, Meditation, Journaling",Likely,Monthly
1/7/2025 11:44:34,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Rarely,Rarely,No,6 - 7 hours,1 - 2 hours,Rarely,No,Regularly,Regularly,Regularly,Regularly,Monthly,No,No,No,Neutral,"Physical activity, Meditation, Journaling, Avoidance",Neutral,Weekly
1/7/2025 11:46:02,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Rarely,Regularly,Weekly,No,No,No,Neutral,"Journaling, Avoidance",Very unlikely,Rarely
1/7/2025 11:46:59,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Rarely,Sometimes,Yes,6 - 7 hours,1 - 2 hours,Sometimes,No,Occasionally,Occasionally,Rarely,Rarely,Never,No,No,No,Satisfied,Other,Neutral,Rarely
1/7/2025 11:50:59,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,8 - 9 hours,Less than 1 hour,Rarely,Yes,Never,Never,Never,Rarely,Weekly,No,No,No,Neutral,Physical activity,Very unlikely,Rarely
1/7/2025 11:52:32,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Never,No,Never,Never,Rarely,Rarely,Never,No,No,No,Satisfied,Physical activity,Neutral,Daily
1/7/2025 11:56:37,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Rarely,No,6 - 7 hours,Less than 1 hour,Never,No,Never,Never,Occasionally,Rarely,Rarely,No,No,No,Satisfied,Meditation,Very unlikely,Weekly
1/7/2025 11:56:39,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Rarely,No,8 - 9 hours,Less than 1 hour,Sometimes,Yes,,,Regularly,Occasionally,Rarely,No,No,No,Satisfied,"Physical activity, Journaling",,Daily
1/7/2025 11:56:45,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,More than 6 hours,Sometimes,No,Never,Never,Rarely,Rarely,Rarely,No,No,No,Neutral,"Physical activity, Meditation",Neutral,Daily
1/7/2025 11:57:13,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,Occasionally,,Rarely,No,No,No,Very satisfied,Physical activity,Likely,Weekly
1/7/2025 12:04:07,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Occasionally,Rarely,Rarely,Yes,No,Prefer not to say,Satisfied,Avoidance,Likely,Rarely
1/7/2025 12:06:27,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Often,Not applicable,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,,,Rarely,,Rarely,No,No,No,Satisfied,Physical activity,Neutral,Weekly
1/7/2025 12:10:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,Regularly,,Monthly,No,No,No,Neutral,"Physical activity, Meditation, Journaling",Very likely,Monthly
1/7/2025 12:12:41,I Agree,25-34,,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Often,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,Occasionally,,Rarely,No,No,No,Neutral,"Physical activity, Social support, Meditation",Very likely,Monthly
1/7/2025 12:16:35,I Agree,18-24,Female,Prefer not to say,Full-time,Never,Never,No,4 - 5 hours,Less than 1 hour,Sometimes,No,Rarely,Rarely,Rarely,Rarely,Never,No,No,No,Very dissatisfied,Other,Very unlikely,Never
1/7/2025 12:17:42,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,Yes,6 - 7 hours,Less than 1 hour,Often,Yes,Rarely,Rarely,Occasionally,Occasionally,Monthly,No,No,No,Dissatisfied,"Journaling, Other",Neutral,Weekly
1/7/2025 12:19:49,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,4 - 5 hours,1 - 2 hours,Sometimes,No,Rarely,Never,Never,Never,Monthly,No,No,No,Neutral,"Social support, Other",Neutral,Rarely
1/7/2025 12:21:13,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,Yes,4 - 5 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Regularly,Occasionally,Monthly,No,No,No,Dissatisfied,Other,Very unlikely,Daily
1/7/2025 12:32:50,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Rarely,Yes,6 - 7 hours,Less than 1 hour,Sometimes,No,Never,Never,Rarely,Occasionally,Monthly,No,No,No,Neutral,Other,Neutral,Rarely
1/7/2025 13:04:55,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Sometimes,Rarely,Not applicable,4 - 5 hours,Less than 1 hour,Sometimes,Yes,Rarely,Never,Rarely,Occasionally,Monthly,No,Yes,No,Satisfied,"Physical activity, Avoidance",Unlikely,Monthly
1/7/2025 13:07:59,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Always,Yes,8 - 9 hours,3 - 4 hours,Always,Yes,Rarely,Rarely,Regularly,Occasionally,Daily,No,Prefer not to say,No,Neutral,Other,Neutral,Rarely
1/7/2025 13:23:20,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Never,Never,No,4 - 5 hours,Less than 1 hour,Never,No,,,Regularly,Regularly,Rarely,No,No,No,Very satisfied,Journaling,Very unlikely,Never
1/7/2025 13:57:18,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Always,Always,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Rarely,Occasionally,Daily,No,Yes,No,Very dissatisfied,Other,Very unlikely,Never
1/7/2025 14:24:43,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Rarely,Yes,Never,Never,Occasionally,Occasionally,Weekly,No,Yes,No,Satisfied,Avoidance,Neutral,Rarely
1/7/2025 14:32:19,I Agree,35-44,Female,"Middle Eastern (e.g., Saudi Arabia, Iran, Iraq)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,3 - 4 hours,Often,Yes,Never,Regularly,Regularly,Regularly,Weekly,Prefer not to say,Yes,Yes,Dissatisfied,"Physical activity, Meditation, Therapy",Very likely,Daily
1/7/2025 15:08:38,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Always,Yes,Occasionally,Never,Regularly,Regularly,Daily,No,No,No,Dissatisfied,Social support,Very unlikely,Rarely
1/7/2025 15:09:25,I Agree,35-44,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,6 - 7 hours,More than 6 hours,Sometimes,No,Never,Never,Never,Occasionally,Rarely,No,Yes,No,Very satisfied,"Physical activity, Meditation, Journaling, Other",Neutral,Daily
1/7/2025 15:13:49,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Occasionally,Occasionally,Daily,No,No,Yes,Dissatisfied,Avoidance,Unlikely,Rarely
1/7/2025 16:05:13,I Agree,55 and above,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Often,Sometimes,No,6 - 7 hours,5 - 6 hours,Sometimes,No,Never,Never,Rarely,Occasionally,Rarely,No,Yes,No,Dissatisfied,Physical activity,Unlikely,Weekly
1/7/2025 17:30:05,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Unemployed,Often,Sometimes,No,4 - 5 hours,Less than 1 hour,Often,Yes,Rarely,Never,Rarely,Rarely,Daily,No,Yes,No,Dissatisfied,Other,Unlikely,Rarely
1/7/2025 17:59:20,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,No,6 - 7 hours,Less than 1 hour,Often,Yes,Rarely,Never,Occasionally,Regularly,Weekly,No,Prefer not to say,No,Dissatisfied,Avoidance,Unlikely,Rarely
1/7/2025 19:20:36,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,1 - 2 hours,Never,No,,,Rarely,Occasionally,Monthly,No,No,No,Neutral,Journaling,Neutral,Never
1/7/2025 20:19:07,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Not applicable,Not applicable,Not applicable,6 - 7 hours,Less than 1 hour,Not Applicable,No,Never,Never,Regularly,Occasionally,Rarely,No,No,No,Neutral,Physical activity,Very unlikely,Rarely
1/7/2025 21:34:11,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Sometimes,Sometimes,No,6 - 7 hours,1 - 2 hours,Not Applicable,No,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,No,No,No,Neutral,"Physical activity, Social support, Meditation",Neutral,Rarely
1/7/2025 21:50:47,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Part-time,Often,Often,Yes,4 - 5 hours,Less than 1 hour,Often,No,Never,Never,Occasionally,Never,Daily,No,No,No,Neutral,"Social support, Avoidance, Other",Very unlikely,Monthly
1/7/2025 22:29:10,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Self-employed,Rarely,Sometimes,No,8 - 9 hours,1 - 2 hours,Rarely,Yes,Rarely,,,Occasionally,Rarely,No,No,No,Neutral,"Social support, Journaling",Unlikely,Monthly
1/7/2025 22:41:18,I Agree,18-24,Male,"Asian (e.g., China, India, Japan, Philippines)",Student,Never,Never,No,8 - 9 hours,Less than 1 hour,Never,No,Never,Never,Never,Never,Rarely,No,No,No,Very satisfied,"Physical activity, Social support",Unlikely,Daily
1/7/2025 22:46:06,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Sometimes,,6 - 7 hours,Less than 1 hour,Sometimes,Yes,,,,Occasionally,Rarely,No,Prefer not to say,No,Satisfied,"Social support, Meditation, Other",Very unlikely,Daily
1/7/2025 22:47:50,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Often,Yes,6 - 7 hours,Less than 1 hour,Rarely,No,Never,Never,Rarely,Never,Weekly,No,,No,Neutral,Avoidance,Very unlikely,Rarely
1/7/2025 23:13:41,I Agree,25-34,Male,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Rarely,Rarely,No,8 - 9 hours,1 - 2 hours,Never,No,Rarely,Rarely,Rarely,Rarely,Rarely,No,No,No,Neutral,Physical activity,Likely,Daily
1/7/2025 23:20:36,I Agree,25-34,Female,"Asian (e.g., China, India, Japan, Philippines)",Full-time,Sometimes,Sometimes,No,8 - 9 hours,Less than 1 hour,Rarely,Yes,Occasionally,,,Occasionally,Daily,No,No,Yes,Satisfied,Avoidance,Neutral,Rarely
1/7/2025 23:27:13,I Agree,18-24,Female,"Asian (e.g., China, India, Japan, Philippines)",Student,Sometimes,Never,No,6 - 7 hours,Less than 1 hour,Sometimes,Yes,Never,Never,Occasionally,Rarely,Rarely,No,No,No,Neutral,"Physical activity, Social support, Meditation",Neutral,Daily
